VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="cylinder" I=200
0.586824 0.492404 1.000000 
0.555419 0.496919 1.000000 
0.523791 0.499434 1.000000 
0.492067 0.499937 1.000000 
0.460375 0.498427 1.000000 
0.428843 0.494911 1.000000 
0.397597 0.489401 1.000000 
0.366763 0.481921 1.000000 
0.336466 0.472500 1.000000 
0.306827 0.461177 1.000000 
0.277967 0.447997 1.000000 
0.250000 0.433013 1.000000 
0.223040 0.416285 1.000000 
0.197195 0.397881 1.000000 
0.172570 0.377875 1.000000 
0.149263 0.356347 1.000000 
0.127368 0.333385 1.000000 
0.106973 0.309079 1.000000 
0.088162 0.283530 1.000000 
0.071008 0.256839 1.000000 
0.055582 0.229113 1.000000 
0.041946 0.200465 1.000000 
0.030154 0.171010 1.000000 
0.020254 0.140866 1.000000 
0.012285 0.110155 1.000000 
0.006281 0.079001 1.000000 
0.002264 0.047528 1.000000 
0.000252 0.015864 1.000000 
0.000252 -0.015864 1.000000 
0.002264 -0.047528 1.000000 
0.006281 -0.079001 1.000000 
0.012285 -0.110155 1.000000 
0.020254 -0.140866 1.000000 
0.030154 -0.171010 1.000000 
0.041946 -0.200465 1.000000 
0.055582 -0.229113 1.000000 
0.071008 -0.256839 1.000000 
0.088162 -0.283530 1.000000 
0.106973 -0.309079 1.000000 
0.127368 -0.333385 1.000000 
0.149263 -0.356347 1.000000 
0.172570 -0.377875 1.000000 
0.197195 -0.397881 1.000000 
0.223040 -0.416285 1.000000 
0.250000 -0.433013 1.000000 
0.277967 -0.447997 1.000000 
0.306827 -0.461177 1.000000 
0.336466 -0.472500 1.000000 
0.366763 -0.481921 1.000000 
0.397597 -0.489401 1.000000 
0.428843 -0.494911 1.000000 
0.460375 -0.498427 1.000000 
0.492067 -0.499937 1.000000 
0.523791 -0.499434 1.000000 
0.555419 -0.496919 1.000000 
0.586824 -0.492404 1.000000 
0.617879 -0.485906 1.000000 
0.648460 -0.477451 1.000000 
0.678443 -0.467074 1.000000 
0.707708 -0.454816 1.000000 
0.736136 -0.440727 1.000000 
0.763613 -0.424863 1.000000 
0.790028 -0.407288 1.000000 
0.815276 -0.388073 1.000000 
0.839255 -0.367296 1.000000 
0.861867 -0.345040 1.000000 
0.883022 -0.321394 1.000000 
0.902635 -0.296454 1.000000 
0.920627 -0.270320 1.000000 
0.936925 -0.243098 1.000000 
0.951463 -0.214897 1.000000 
0.964184 -0.185831 1.000000 
0.975036 -0.156017 1.000000 
0.983974 -0.125574 1.000000 
0.990964 -0.094626 1.000000 
0.995977 -0.063296 1.000000 
0.998993 -0.031712 1.000000 
1.000000 -0.000000 1.000000 
